stock_code,stock_name,market,dividend_date,dividend_amount,buy_price,ex_price,price_change_pct,dividend_yield_pct,total_return_pct,is_profitable
002236,大华股份,深市,2023-11-16,3.1014,20.27,19.42,-4.19,15.3,11.11,True
002236,大华股份,深市,2023-06-06,2.41,20.24,18.16,-10.28,11.91,1.63,True
002304,洋河股份,深市,2025-06-27,23.17,63.39,63.91,0.82,36.55,37.37,True
002304,洋河股份,深市,2025-01-27,23.3,78.77,75.69,-3.91,29.58,25.67,True
002304,洋河股份,深市,2024-06-26,46.6,84.38,77.25,-8.45,55.23,46.78,True
002304,洋河股份,深市,2023-06-21,37.4,126.38,122.0,-3.47,29.59,26.13,True
002311,海大集团,深市,2025-09-25,2.0,62.13,62.0,-0.21,3.22,3.01,True
002311,海大集团,深市,2025-06-27,11.0,58.69,57.96,-1.24,18.74,17.5,True
002311,海大集团,深市,2024-07-04,5.0,49.07,45.1,-8.09,10.19,2.1,True
002311,海大集团,深市,2023-07-07,4.5,43.51,45.6,4.8,10.34,15.15,True
002352,顺丰控股,深市,2025-09-16,4.6,46.0,41.19,-10.46,10.0,-0.46,False
002352,顺丰控股,深市,2025-07-17,4.4,48.67,45.85,-5.79,9.04,3.25,True
002352,顺丰控股,深市,2024-11-07,4.0,42.41,43.83,3.35,9.43,12.78,True
002352,顺丰控股,深市,2024-05-14,6.0,32.05,35.38,10.39,18.72,29.11,True
002352,顺丰控股,深市,2023-05-12,2.5,52.93,46.95,-11.3,4.72,-6.57,False
002371,北方华创,深市,2025-07-03,10.6,313.88,328.17,4.55,3.38,7.93,True
002371,北方华创,深市,2024-07-04,7.8,230.81,234.09,1.42,3.38,4.8,True
002371,北方华创,深市,2023-07-13,4.45,235.88,213.42,-9.52,1.89,-7.64,False
002415,海康威视,深市,2025-10-10,4.0,29.85,33.91,13.6,13.4,27.0,True
002415,海康威视,深市,2025-05-20,7.0,27.36,27.85,1.79,25.58,27.38,True
002415,海康威视,深市,2024-05-21,9.0,30.13,31.75,5.38,29.87,35.25,True
002415,海康威视,深市,2023-05-19,7.0,39.72,33.44,-15.81,17.62,1.81,True
002460,赣锋锂业,深市,2025-07-17,1.5,31.13,34.96,12.3,4.82,17.12,True
002460,赣锋锂业,深市,2024-07-24,8.0,27.62,26.54,-3.91,28.96,25.05,True
002460,赣锋锂业,深市,2023-07-12,10.0,60.03,58.87,-1.93,16.66,14.73,True
002475,立讯精密,深市,2026-02-12,1.5992,54.41,50.43,-7.31,2.94,-4.38,False
002475,立讯精密,深市,2025-07-14,1.9987,30.98,35.25,13.78,6.45,20.23,True
002475,立讯精密,深市,2024-07-11,2.9895,31.27,41.42,32.46,9.56,42.02,True
002475,立讯精密,深市,2023-06-15,1.2997,26.31,27.95,6.23,4.94,11.17,True
002493,荣盛石化,深市,2025-05-28,1.0,8.05,8.65,7.45,12.42,19.88,True
002493,荣盛石化,深市,2024-06-05,1.0,11.32,9.77,-13.69,8.83,-4.86,False
002493,荣盛石化,深市,2023-05-26,1.5,12.69,11.78,-7.17,11.82,4.65,True
002601,龙佰集团,深市,2025-12-17,1.0,18.65,18.01,-3.43,5.36,1.93,True
002601,龙佰集团,深市,2025-06-11,5.0,16.29,16.29,0.0,30.69,30.69,True
002601,龙佰集团,深市,2024-12-11,3.0,18.46,17.63,-4.5,16.25,11.76,True
002601,龙佰集团,深市,2024-05-30,6.0,19.39,19.98,3.04,30.94,33.99,True
002601,龙佰集团,深市,2023-11-08,3.0,17.04,16.25,-4.64,17.61,12.97,True
002601,龙佰集团,深市,2023-05-29,6.0,15.17,14.31,-5.67,39.55,33.88,True
002714,牧原股份,深市,2025-10-16,9.2752,56.36,51.33,-8.92,16.46,7.53,True
002714,牧原股份,深市,2025-06-26,5.7427,37.61,41.08,9.23,15.27,24.5,True
002714,牧原股份,深市,2024-12-30,8.3479,38.66,37.49,-3.03,21.59,18.57,True
002714,牧原股份,深市,2023-07-13,7.3818,38.02,39.74,4.52,19.42,23.94,True
002736,国信证券,深市,2026-02-11,1.0,13.41,12.56,-6.34,7.46,1.12,True
